PT,Rho
0,996.511499180662
10,1000.95483478225
20,1005.3069391492
30,1009.5706034537
40,1013.74895547525
50,1017.84497980603
60,1021.86141396102
70,1025.8007099669
80,1029.66515957665
90,1033.45702200719
100,1037.17874723449
110,1040.83311668225
120,1044.42282099936
130,1047.95009556348
140,1051.41695577229
150,1054.8254315701
160,1058.17749349479
170,1061.47497096324
180,1064.71965373739
190,1067.91338275166
200,1071.05791717091
210,1074.15482280383
220,1077.20556946963
230,1080.21162576575
240,1083.17445413193
250,1086.09547991827
260,1088.97606889152
270,1091.81746376211
280,1094.62081370589
290,1097.38723253216
300,1100.11772675111
310,1102.81325661331
320,1105.47483424381
330,1108.10351922336
340,1110.70031943394
350,1113.26602772327
360,1115.80138882607
370,1118.30730956964
380,1120.78470949468
390,1123.23437822601
400,1125.65698705219
410,1128.05311729486
420,1130.42337425095
430,1132.76848120304
440,1135.08918667
450,1137.3861328364
460,1139.65986128859
470,1141.91087341416
480,1144.13965105632
490,1146.34668996198
500,1148.53252303551
510,1150.69769053744
520,1152.84266457642
530,1154.96783255
540,1157.07356209406
550,1159.16028256047
560,1161.22848591273
570,1163.27863898268
580,1165.31110554242
590,1167.32615030815
600,1169.32404577328
610,1171.30516666371
620,1173.26999064385
630,1175.2189831937
640,1177.15245276555
650,1179.0705324731
660,1180.97327321013
670,1182.86089165308
680,1184.73384322909
690,1186.59280856005
700,1188.43852749743
710,1190.27164800878
720,1192.09271254018
730,1193.90214544405
740,1195.70020365163
750,1197.48695158326
760,1199.26225808089
770,1201.0258558694
780,1202.77756220117
790,1204.51736656446
800,1206.24543473722
810,1207.96208029253
820,1209.66761673205
830,1211.36228040247
840,1213.04622677486
850,1214.71953311472
860,1216.38224607314
870,1218.03443504428
880,1219.67619801092
890,1221.30766186296
900,1222.92897782933
910,1224.54030138819
920,1226.1417831619
930,1227.7335685655
940,1229.31579778635
950,1230.88861222728
960,1232.45217305207
970,1234.00666712573
980,1235.55230734728
990,1237.08933288282
1000,1238.61800543928
